country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Unemployment (% of labour force),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)"
United States Virgin Islands,Caribbean,347,105,299.7,91.1,87953,4,6325,9,78,82,-0.2,95.3,2.3,81.5/76.7
Uruguay,SouthAmerica,173626,3457,19.8,93.5,53442,1,15573.8,8.8,41,8137,0.3,95.3,2,80.4/73.2
Uzbekistan,CentralAsia,448969,31911,75,99.4,69004,6.8,2308.3,8.9,27947,25652,1.6,36.4,2.4,73.5/68.1
Vanuatu,Melanesia,12189,276,22.7,102.4,737,-1,2783,5.3,50,416,2.3,26.1,3.4,73.6/69.4
Venezuela (Bolivarian Republic of),SouthAmerica,912050,31977,36.3,99,344331,-6.2,11068.9,6.6,19731,16324,1.4,89,2.4,78.2/69.9
Viet Nam,South-easternAsia,330967,95541,308.1,98,193241,6.7,2067.9,2.2,176632,174111,1.1,33.6,2,80.3/70.7
Wallis and Futuna Islands,Polynesia,142,12,84.1,93.4,23682,-4,897.5,4.5,1,53,-2.1,45,2.1,78.7/72.8
Western Sahara,NorthernAfrica,266000,553,2.1,110.1,897,-0.3,98.5,6.8,4,78,1.8,80.9,2.6,70.3/66.9
Yemen,WesternAsia,527968,28250,53.5,102.1,29688,-28.1,1106.4,16.1,41,6861,2.6,34.6,4.4,65.6/62.8
Zambia,EasternAfrica,752612,17094,23,98.5,21255,2.9,1311.1,7.4,6505,7442,3,40.9,5.2,61.9/57.5
Zimbabwe,EasternAfrica,390757,16530,42.7,95,13893,1.1,890.4,5,2832,5212,2.3,32.4,4,59.0/56.1
